twitter_link,text,date,likes,comments
https://twitter.com/WCastro1971/status/1758338649186259295#m,Si estaba cometiendo un delito no tendría que primero cumplir la pena correspondiente y después de eso si ser deportado? En 2 meses lo tenemos de vuelta a este seguro...,"Feb 16, 2024 · 3:52 AM UTC",0,0
https://twitter.com/smol02/status/1758338456751579491#m,"Ayer, av Corrientes casi Obelisco. Ni hablar de la inseguridad cerca de Galerías Pacífico, en especial de noche, tamb Abasto, Once, etc. Pronto tierra de nadie. Y la mugre de las veredas, dá asco. Ustedes están en CABA, tamb están desprotegidos como los vecinos. Revean por favor","Feb 16, 2024 · 3:52 AM UTC",2,0
https://twitter.com/mnescribano/status/1758260390964678954#m,Jorge deja de hacer circo y pinete a laburar. La Ciudsd es un asco..Palermo huele a baño químico de recital. Las ratas son parte.del paisaje diario. La acumulación de basura es un asco.,"Feb 15, 2024 · 10:41 PM UTC",4,1
https://twitter.com/AnikaTepli/status/1758338162806407361#m,Volviste Black? O seguís de gira?,"Feb 16, 2024 · 3:51 AM UTC",0,0
https://twitter.com/Fsan89/status/1758260653117047131#m,Y vos no sos bienvenido por el papa,"Feb 15, 2024 · 10:43 PM UTC",5,0
https://twitter.com/Mariano57438622/status/1758338098537127971#m,Vaguear 60 días siendo bancado por los impuestos de los porteños también es delincuencia.,"Feb 16, 2024 · 3:50 AM UTC",0,0
https://twitter.com/meravigli0/status/1758338061195219230#m,con razón ni aparecés,"Feb 16, 2024 · 3:50 AM UTC",0,0
https://twitter.com/kaya0600/status/1758337907662717347#m,"Volviste?o aprovechaste que te bajabas del avión y salió foto ""operativo"" ?","Feb 16, 2024 · 3:50 AM UTC",0,0
https://twitter.com/MariaDeSaavedra/status/1758337846417531331#m,"Hola perdido, volviste? O estás hablando de otro aeropuerto del mundo?","Feb 16, 2024 · 3:49 AM UTC",1,0
https://twitter.com/roberto1106/status/1758337824611237902#m,Y entonces como puede ser que vos te hayas candidateado?,"Feb 16, 2024 · 3:49 AM UTC",0,0
https://twitter.com/Mauro78014289/status/1758337580565725480#m,Volviste morocho!,"Feb 16, 2024 · 3:48 AM UTC",1,0
