twitter_link,text,date,likes,comments
https://twitter.com/SrtaSosita/status/1751350198968746208#m,"Pero para queeeeeee Jorge?? Quién tiene de prioridad una murga? Podes empezar con más seguridad y limpieza, por ejemplo.","Jan 27, 2024 · 9:03 PM UTC",0,0
https://twitter.com/mchava5/status/1751349611887726702#m,Pza Echeverría..Villa Urquiza.. InsoportaBle .. Horas perdidas,"Jan 27, 2024 · 9:01 PM UTC",0,0
https://twitter.com/GabrielaAgilda/status/1751349590542991449#m,"Andá a poner orden a Once: los manteros de Grabois siguen facturando a lo pavote, la zona es un basural intransitable, y vos querés ""organizar"" los corsos 🤦🏻‍♀️🤦🏻‍♀️ Mucho blabla; cero compromiso con lo prometido en campaña.","Jan 27, 2024 · 9:00 PM UTC",0,0
https://twitter.com/belkitafort/status/1751349141513314505#m,Y a los que tienen ciudadanía doble también. Revocar.,"Jan 27, 2024 · 8:59 PM UTC",0,0
https://twitter.com/cursosyreparac1/status/1751347939610349691#m,"JORGE,dejate de relatar futbol politico y empeza a hacer loco. La capital sigue llena de basura,de narcos que toman los barrios,de manteros por todos lados,de gente que orina y defeca en la calle. Deja el blabla,pareces RADICAL.","Jan 27, 2024 · 8:54 PM UTC",0,0
https://twitter.com/DyanPreeti/status/1751347292316045410#m,PAZ CLARO  EN EL MUNDO GENOCDIOS A NADIE A PALESTINA TAMPOCO,"Jan 27, 2024 · 8:51 PM UTC",0,0
https://twitter.com/TheMadMen22/status/1751347186393071819#m,@jorgemacri HIJO DE PUTA TAN INÚTIL COMO @LARRETA,"Jan 27, 2024 · 8:51 PM UTC",0,0
https://twitter.com/VeryTw/status/1751346243068944645#m,Parece que no nos leíste!!! La mayoría de los porteños DETESTAMOS esa fiesta pagana y tribal!!!! Vos porque sos conurbano no lo sabes. Pero creo que fuimos claros y vehementes con nuestro parecer.,"Jan 27, 2024 · 8:47 PM UTC",0,0
https://twitter.com/mccc5/status/1751345801580646730#m,Hagan los festejos en el indoamericano hay lugar de sobra. Que bailen toda la noche si quieren no en la calle. No cerca de edificios y viviendas.,"Jan 27, 2024 · 8:45 PM UTC",3,0
https://twitter.com/joseopinologo23/status/1751345350395285619#m,@jorgemacri  dónde está usted? Conoce el barrio de Once? Pertenece a CABA y la gente está esperando que usted haga algo al respecto....,"Jan 27, 2024 · 8:44 PM UTC",0,0
https://twitter.com/lab19571/status/1751345260192473395#m,"Que lo celebren en un boliche , no cortando calles y jorobando a todo el mundo ….","Jan 27, 2024 · 8:43 PM UTC",0,0
https://twitter.com/IsabelB78314293/status/1751344549107020059#m,Y a los que les dieron la ciudadanía también   Porque no la merecen!!!,"Jan 27, 2024 · 8:40 PM UTC",0,0
https://twitter.com/ZafiroOw/status/1751343393907601656#m,Hace una encuesta y te vas a dar cuenta la boludez que escribis,"Jan 27, 2024 · 8:36 PM UTC",0,0
https://twitter.com/marianaisola/status/1751343276832039311#m,@jorgemacri  que los hagan en el autodrimo y que las murgas practiquen allá también estoy harta vivo frente a una plaza tengo que escuchar esa porquería desde octubre. que practican si tiene dos saltos y eswruido inmundo de tambores parece una manifestación a diario,"Jan 27, 2024 · 8:35 PM UTC",0,0
https://twitter.com/TellasmaR/status/1751343207835705375#m,Mucho bla bla y pocos ejemplos concretos...,"Jan 27, 2024 · 8:35 PM UTC",0,0
https://twitter.com/CarestiaEsteban/status/1751342299802370298#m,"Qué desatino Jorge, espero que recapacites. Cómo le gusta a muchos porteños, lo vamos a acotar... Un sin sentido.","Jan 27, 2024 · 8:31 PM UTC",0,0
